PDEshL	 -11.7179487179487 -0.538461538461538
SIBDL	 1.33884297520661 0.115702479338843
SAADL	 1.30578512396694 0.15702479338843
RMDDL	 1.32644628099174 0.15702479338843
RIH	 1.34297520661157 0.161157024793388
SMDDL	 1.21900826446281 0.223140495867769
SIBVL	 1.24793388429752 0.169421487603306
RMHL	 1.22727272727273 0.152892561983471
ABIL	 1.2396694214876 0.0991735537190083
AVHL	 1.21074380165289 -0.144628099173554
AVJL	 1.13636363636364 -0.15702479338843
AINL	 1.04132231404959 -0.103305785123967
AVBL	 1.16115702479339 -0.0743801652892562
AVDL	 1.03719008264463 -0.0247933884297521
ASEL	 1.16115702479339 0.00826446280991736
RIML	 1.08264462809917 0.0413223140495868
RIBL	 1.18181818181818 0.0743801652892562
AUAL	 1.15289256198347 0.103305785123967
ASJL	 1.06611570247934 0.111570247933884
AIAL	 1.09504132231405 0.15702479338843
SIADL	 1.14876033057851 0.181818181818182
RMFL	 1.16115702479339 0.214876033057851
SMBDL	 1.08677685950413 0.235537190082645
SMBVL	 1 0.239669421487603
SIAVL	 0.871900826446281 0.235537190082645
RICL	 0.93801652892562 0.103305785123967
ADEsoL	 0.925619834710744 0.0289256198347107
AIZL	 0.818181818181818 0.0454545454545455
AMshL	 0.590909090909091 -0.330578512396694
ADEshL	 0.0661157024793388 -0.00413223140495868
RMGL	 0.148760330578512 0.0578512396694215
ADAL	 0.18595041322314 0.0991735537190083
ADEL	 0.272727272727273 0.0950413223140496
FLPL	 0.392561983471074 0.152892561983471
AIVL	 0.541322314049587 0.28099173553719
AIML	 0.557851239669422 0.301652892561983
VB2	 0.520661157024793 0.384297520661157
AVKL	 0.450413223140496 0.297520661157025
AVFR	 0.433884297520661 0.355371900826446
SABVL	 0.421487603305785 0.359504132231405
SABVR	 0.359504132231405 0.367768595041322
AVFL	 0.330578512396694 0.37603305785124
RIFR	 0.285123966942149 0.380165289256198
VB1	 0.268595041322314 0.388429752066116
DB2	 0.210743801652893 0.400826446280992
RIGR	 0.148760330578512 0.37603305785124
RIFL	 0.0867768595041322 0.400826446280992
AVG	 0.0454545454545455 0.400826446280992
SABD	 -0.0165289256198347 0.40495867768595
VA1	 -0.0330578512396694 0.40495867768595
RIGL	 -0.0950413223140496 0.409090909090909
DD1	 -0.136363636363636 0.40495867768595
DB1	 -0.198347107438017 0.417355371900826
AS1	 -0.272727272727273 0.409090909090909
VD1	 -0.355371900826446 0.40495867768595
DA1	 -0.380165289256198 0.40495867768595
VD2	 -0.520661157024793 0.40495867768595
AMsoR	 3.28395061728395 -0.0329218106995885
ILsoVR	 3.28395061728395 0.316872427983539
ILshVR	 3.16872427983539 0.325102880658436
OLQsoVR	 2.96296296296296 0.148148148148148
ILshR	 2.88888888888889 0.123456790123457
ILsoR	 3.02880658436214 0.0576131687242798
ILsoDR	 3.11111111111111 -0.271604938271605
IL2DR	 2.30864197530864 -0.234567901234568
OLQshDR	 2.37448559670782 -0.127572016460905
ILshDR	 2.2962962962963 -0.156378600823045
OLLshR	 2.2880658436214 0.119341563786008
OLQshVR	 2.27572016460905 0.209876543209877
CEPsoVR	 2.21399176954733 0.246913580246914
IL2VR	 2.13168724279835 0.205761316872428
XXXR	 2.18930041152263 0.156378600823045
IL2R	 2.18930041152263 -0.0123456790123457
OLLR	 2.16872427983539 -0.0740740740740741
OLLsoR	 2.24279835390946 -0.0987654320987654
CEPsoDR	 2.24691358024691 -0.1440329218107
OLQsoDR	 2.24691358024691 -0.176954732510288
URYDR	 2.19341563786008 -0.160493827160494
IL1DR	 2.13168724279835 -0.168724279835391
URADR	 2.09876543209877 -0.139917695473251
OLQDR	 2.04526748971193 -0.205761316872428
CEPshDR	 1.9917695473251 -0.127572016460905
RIPR	 2.03292181069959 -0.0534979423868313
URBR	 2.05349794238683 -0.0205761316872428
IL1R	 2.08641975308642 0.0411522633744856
URYVR	 2.03292181069959 0.119341563786008
