2 298
121 261
138 261
134 198
158 154
172 140
131 124
108 119
331 241
366 236
388 242
417 250
398 226
376 226
353 226
331 222
331 222
311 221
340 210
364 202
393 204
429 189
428 175
395 189
373 181
352 189
306 155
331 143
339 140
343 157
357 154
362 129
342 124
393 168
415 160
413 139
436 148
450 131
498 118
476 257
499 242
504 243
488 224
512 225
527 218
513 209
503 201
504 189
523 193
536 188
523 170
532 156
542 146
529 136
550 168
552 181
551 230
590 251
574 229
570 208
565 193
570 189
580 175
568 157
563 149
571 139
566 139
562 138
592 123
585 136
590 140
587 153
594 212
612 215
635 202
606 195
636 183
606 175
625 167
601 159
608 152
629 150
622 139
609 133
606 125
624 120
645 119
676 120
660 152
663 170
689 166
744 257
871 178
851 163
842 153
821 154
792 140
756 109
752 104
761 84
778 105
782 91
785 90
800 88
807 86
818 85
822 83
836 80
851 86
866 80
876 80
891 79
895 79
910 78
920 79
935 76
953 78
973 79
979 79
1013 79
1021 57
